"persoonuuid";"naam";"wikidata"
"b28b6a5a-2746-11e3-8b7f-3cd92befe4f8";"Willem VI, graaf van Holland";"http://www.wikidata.org/entity/Q77247"
"b287e416-2746-11e3-8dd2-3cd92befe4f8";"Floris V";"http://www.wikidata.org/entity/Q77245"
"b288adec-2746-11e3-8a19-3cd92befe4f8";"Floris V, graaf van Holland";"http://www.wikidata.org/entity/Q77245"
"b284bf34-2746-11e3-b457-3cd92befe4f8";"Willem V, graaf van Holland";"http://www.wikidata.org/entity/Q77244"
"b28f8630-2746-11e3-9fa2-3cd92befe4f8";"Floris III, graaf van Holland";"http://www.wikidata.org/entity/Q77243"
"b285639e-2746-11e3-b21c-3cd92befe4f8";"Siebold, Jhr. Philipp Franz von";"http://www.wikidata.org/entity/Q77140"
"b284323a-2746-11e3-a5a2-3cd92befe4f8";"Terpstra, A. Rzn.";"http://www.wikidata.org/entity/Q77085530"
"b2844252-2746-11e3-90be-3cd92befe4f8";"Welvaart, Prof. Dr. K.";"http://www.wikidata.org/entity/Q77085471"
"b287a492-2746-11e3-8bce-3cd92befe4f8";"Storm van Leeuwen, Prof. Dr. W.";"http://www.wikidata.org/entity/Q77085422"
"b2917e40-2746-11e3-abe1-3cd92befe4f8";"Louwe Kooijmans, prof.dr. L.P.";"http://www.wikidata.org/entity/Q77085257"
"b28e64b2-2746-11e3-9717-3cd92befe4f8";"Staden, Prof. Dr. A. van";"http://www.wikidata.org/entity/Q77085096"
"b284934c-2746-11e3-b734-3cd92befe4f8";"Taminiau, Prof. Dr. A.";"http://www.wikidata.org/entity/Q77084963"
"b2849054-2746-11e3-895f-3cd92befe4f8";"Thung, P.J.";"http://www.wikidata.org/entity/Q77084247"
"b28777d8-2746-11e3-9cdc-3cd92befe4f8";"Coornhert, Dirck Volckerstz";"http://www.wikidata.org/entity/Q765465"
"b29045e8-2746-11e3-8888-3cd92befe4f8";"Wassenaer, Maria van";"http://www.wikidata.org/entity/Q76261794"
"b2897538-2746-11e3-9fed-3cd92befe4f8";"Hemsterhuis, Tiberius";"http://www.wikidata.org/entity/Q741901"
"b2845440-2746-11e3-ac9e-3cd92befe4f8";"Willem IV, graaf van Holland";"http://www.wikidata.org/entity/Q737820"
"b28a0bc4-2746-11e3-b515-3cd92befe4f8";"Dirk II, graaf van Holland";"http://www.wikidata.org/entity/Q737699"
"b287cc2e-2746-11e3-80fb-3cd92befe4f8";"Aa, C. van der";"http://www.wikidata.org/entity/Q733070"
"b28ad0fe-2746-11e3-a871-3cd92befe4f8";"Snouck Hurgronje, Chr.";"http://www.wikidata.org/entity/Q731829"
"b284a7ce-2746-11e3-bca8-3cd92befe4f8";"Brink, Jan ten";"http://www.wikidata.org/entity/Q721355"
"b28452b0-2746-11e3-81cc-3cd92befe4f8";"Omtzicht, C.P.";"http://www.wikidata.org/entity/Q7192814"
"b2848d5c-2746-11e3-8426-3cd92befe4f8";"Scholten, J.H.";"http://www.wikidata.org/entity/Q715659"
"b28deba4-2746-11e3-ab8d-3cd92befe4f8";"Swieten, Gerard, baron van";"http://www.wikidata.org/entity/Q711132"
"b28d7d04-2746-11e3-ad6d-3cd92befe4f8";"Wiersma, Wiebe";"http://www.wikidata.org/entity/Q67197990"
"b288fde2-2746-11e3-9b5e-3cd92befe4f8";"Dieu, L. de";"http://www.wikidata.org/entity/Q6688435"
"b2896d9a-2746-11e3-b8ee-3cd92befe4f8";"Musschenbroek, Samuel Joosten van";"http://www.wikidata.org/entity/Q65960805"
"b281e930-2746-11e3-81c7-3cd92befe4f8";"Tendeloo, prof.dr.N.Ph.";"http://www.wikidata.org/entity/Q65851698"
"b28c4df8-2746-11e3-bc53-3cd92befe4f8";"Holk, Prof. Dr. L.J. van";"http://www.wikidata.org/entity/Q65851116"
"b282f0a0-2746-11e3-ba88-3cd92befe4f8";"Snellen, H.A.";"http://www.wikidata.org/entity/Q65850554"
"b28768ec-2746-11e3-92fd-3cd92befe4f8";"Jong, Dirk Aart de";"http://www.wikidata.org/entity/Q65850329"
"b28bec28-2746-11e3-b51c-3cd92befe4f8";"Wilhelmius, Wilhelmus";"http://www.wikidata.org/entity/Q65849317"
"b2832764-2746-11e3-832d-3cd92befe4f8";"Sobels, F.H.";"http://www.wikidata.org/entity/Q65849284"
"b2903940-2746-11e3-aeee-3cd92befe4f8";"Siegenbeek van Heukelom, D.E.";"http://www.wikidata.org/entity/Q65849211"
"b290f11e-2746-11e3-8409-3cd92befe4f8";"Dirk VII, graaf van Holland";"http://www.wikidata.org/entity/Q655190"
"b28ff0c0-2746-11e3-93f5-3cd92befe4f8";"Dirk V, graaf van Holland";"http://www.wikidata.org/entity/Q653110"
"b28d9622-2746-11e3-9210-3cd92befe4f8";"Muller, Pieter Lodewijk";"http://www.wikidata.org/entity/Q649457"
"b286231a-2746-11e3-8b12-3cd92befe4f8";"Zurcher, Prof. Dr. E.";"http://www.wikidata.org/entity/Q645696"
"b29009b6-2746-11e3-a7e5-3cd92befe4f8";"Thierry, Gerard, Jacobus";"http://www.wikidata.org/entity/Q63258037"
"b28583b0-2746-11e3-9bb2-3cd92befe4f8";"Fruin, R. Dr.";"http://www.wikidata.org/entity/Q630982"
"b28257ee-2746-11e3-99dc-3cd92befe4f8";"Beysens, J.Th. prof. dr.";"http://www.wikidata.org/entity/Q63003133"
"b28fa818-2746-11e3-a8b4-3cd92befe4f8";"Cocceius, I.";"http://www.wikidata.org/entity/Q62517"
"b28ec452-2746-11e3-b28e-3cd92befe4f8";"Willem III, graaf van Holland";"http://www.wikidata.org/entity/Q617496"
"b28fc262-2746-11e3-aa39-3cd92befe4f8";"Schlegel, Herman";"http://www.wikidata.org/entity/Q60725"
"b2847fd8-2746-11e3-8c5e-3cd92befe4f8";"Walaeus, Anthonius";"http://www.wikidata.org/entity/Q606757"
"b28fb9e8-2746-11e3-ab89-3cd92befe4f8";"Walaeus, Antonius";"http://www.wikidata.org/entity/Q606757"
"b28874bc-2746-11e3-8463-3cd92befe4f8";"Thysius, Antonius";"http://www.wikidata.org/entity/Q606745"
"b28e423e-2746-11e3-8b92-3cd92befe4f8";"Schultingius, A.";"http://www.wikidata.org/entity/Q606737"
"b2836ee0-2746-11e3-8b33-3cd92befe4f8";"Verstoep, L.";"http://www.wikidata.org/entity/Q59785834"
"b283c264-2746-11e3-a22f-3cd92befe4f8";"Solnitz, A. W.";"http://www.wikidata.org/entity/Q595507"
"b2824560-2746-11e3-8fe9-3cd92befe4f8";"Sanders, Abram";"http://www.wikidata.org/entity/Q58335838"
"b28297b8-2746-11e3-ba0c-3cd92befe4f8";"Sluiter, Willy";"http://www.wikidata.org/entity/Q579591"
"b28d80d8-2746-11e3-b9b0-3cd92befe4f8";"Taverne, mr. Bernardus, Maria.";"http://www.wikidata.org/entity/Q57457015"
"b2837a98-2746-11e3-bca1-3cd92befe4f8";"Temminck, M.";"http://www.wikidata.org/entity/Q57152108"
"b2896c32-2746-11e3-b359-3cd92befe4f8";"Kern, Johannes Hendricus Casparus";"http://www.wikidata.org/entity/Q571426"
